TableName,Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accommadation,UID=1;date=2025-06;icm_admin_inhouse_count=10.0;icm_admin_outside_count=9.0;icm_floor_inhouse_count=214.0;icm_floor_outside_count=60.0;ievo_admin_inhouse_count=9.0;ievo_admin_outside_count=6.0;ievo_floor_inhouse_count=0.0;ievo_floor_outside_count=0.0;hanmac_admin_inhouse_count=12.0;hanmac_admin_outside_count=9.0;hanmac_floor_inhouse_count=90.0;hanmac_floor_outside_count=14.0;ins_admin_inhouse_count=1.0;ins_admin_outside_count=0.0;ins_floor_inhouse_count=46.0;ins_floor_outside_count=5.0;sup_admin_inhouse_count=5.0;sup_admin_outside_count=1.0;sup_floor_inhouse_count=29.0;sup_floor_outside_count=5.0;contractor_admin_inhouse_count=0.0;contractor_admin_outside_count=0.0;contractor_floor_inhouse_count=49.0;contractor_floor_outside_count=38.0;entry_by=Shabbir Khan;entry_on=2025-07-19 14:35:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
account_major_expenses,UID=2;date=2025-06-30;company=IEVO;interst_payment_type=None;cc_interst_payment=1067980.0;od_interst_payment=253660.0;term_loan_interst_payment=1216945.0;vehicle_loan_interst_payment=105572.0;packing_credit_interst_payment=687899.0;misc_interst_payment=90344.0;penalties_paid=;domestic_travelling=3024724 ;forex_travelling=1710734 ;inward_freight=;outward_freight=;site_installation=;export_exp=;entry_by=Priyesh Kothari;entry_on=2025-07-01 17:34:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activity_tracker,UID=1;inq_no=INQ_1001;activity=Mock Up;remark=Mocku up test;doe=2018-08-24 13:05:26;entry_by=Ravi Kumar Asari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all_mo_remark,UID=172;project_mo_data_uid=5660;date=2019-03-15 00:00:00;status=Dispatched;entry_by=Jagdish Meghwal;doe=2019-03-18 15:38:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all_rework,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparisal,UID=1374;emp_uid=3490;1=;1r=N/A;2=;2r=N/A;3=;3r=N/A;4=;4r=N/A;5=;5r=N/A;6=;6r=N/A;7=;7r=N/A;8=;8r=N/A;9=;9r=N/A;10=;10r=N/A;11=;11r=N/A;12=;12r=N/A;13=;13r=N/A;desc_1=;desc_2=;desc_3=;desc_4=;desc_5=;feedback=;entry_by=Harshit Trivedi;doe=2026-02-03 15:32:24;status=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
article_sheet,UID=5230;group_name=1;article_name=XYZ;description=XYZ;make=XYZ;manufacture_code=XYZ;link=XYZ;uom=Board;entry_by=Rahul Kumar Paliwal;doe=2022-12-30 11:07:11;status=0;status_on=None;status_by=None;remarks=None;smc_remark=None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
att_category,"UID=2;device_code_list=2018-11-06,2018-11-07,2018-11-08,2018-11-09,2018-01-26,2018-08-15,2019-05-01,2019-06-04,2019-08-15,2019-09-17,2019-10-27,2019-10-28,2019-10-29,2020-01-26,2020-03-10;detail=Diwali,Diwali,Diwali,Diwali,Republic Day,Independence Day,Labour Day,Idul Fither,Independance Day,Vishvakarma Jayanti,Diwali,Diwali,Diwali,Republic Day,Holi;type=holiday",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
att_log_calc,UID=103072;device_code=154;log_date=2019-01-31;type=;remark=;s_in=2019-01-31 00:00;s_out=2019-01-31 00:00;s_hour=510;a_in=2019-01-31 09:12;a_out=2019-01-31 18:24;work_hour=552;status=P;late_by=553;early_going_by=0;ot=1104;total_extra_work=42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
